Date,Tanggal,Maks,BF,HF,SF,BA,HA,SA,Curah hujan
01-2014,Jan - 2014,"34,769",0,0,0,0,0,0,273.5
02-2014,Feb - 2014,"56,426",0,0,0,0,0,0,316.2
03-2014,Mar - 2014,"69,516",0,0,0,0,0,0,197.7
04-2014,Apr - 2014,"65,824",0,0,0,0,0,0,245.9
05-2014,May - 2014,"19,144",0,0,0,0,0,0,51
06-2014,Jun - 2014,"11,657",1,0,0,0,0,0,47.5
07-2014,Jul - 2014,"15,569",0,1,0,0,0,0,3
08-2014,Aug - 2014,"16,423",0,0,1,0,0,0,6
09-2014,Sep - 2014,"13,930",0,0,0,1,0,0,0
10-2014,Oct - 2014,"20,051",0,0,0,0,1,0,0.4
11-2014,Nov - 2014,"57,642",0,0,0,0,0,1,68.6
12-2014,Dec - 2014,"83,879",0,0,0,0,0,0,283.9
01-2015,Jan - 2015,"80,573",0,0,0,0,0,0,494.1
02-2015,Feb - 2015,"29,813",0,0,0,0,0,0,300.4
03-2015,Mar - 2015,"29,799",0,0,0,0,0,0,246.1
04-2015,Apr - 2015,"22,778",0,0,0,0,0,0,128.2
05-2015,May - 2015,"20,077",0,0,0,0,0,0,87.8
06-2015,Jun - 2015,"16,859",1,0,0,0,0,0,0.7
07-2015,Jul - 2015,"46,742",0,1,0,0,0,0,0
08-2015,Aug - 2015,"60,909",0,0,1,1,0,0,0
09-2015,Sep - 2015,"61,012",0,0,0,0,1,0,0
10-2015,Oct - 2015,"22,045",0,0,0,0,0,1,0
11-2015,Nov - 2015,"17,510",0,0,0,0,0,0,130.2
12-2015,Dec - 2015,"33,009",0,0,0,0,0,0,183
01-2016,Jan - 2016,"33,989",0,0,0,0,0,0,284.1
02-2016,Feb - 2016,"21,954",0,0,0,0,0,0,410.5
03-2016,Mar - 2016,"45,491",0,0,0,0,0,0,144.6
04-2016,Apr - 2016,"31,631",0,0,0,0,0,0,129.7
05-2016,May - 2016,"19,528",0,0,0,0,0,0,351.5
06-2016,Jun - 2016,"19,949",1,0,0,0,0,0,126.8
07-2016,Jul - 2016,"40,579",0,1,0,0,0,0,90.1
08-2016,Aug - 2016,"39,598",0,0,1,1,0,0,36.6
09-2016,Sep - 2016,"34,949",0,0,0,0,1,0,102.2
10-2016,Oct - 2016,"35,724",0,0,0,0,0,1,161.5
11-2016,Nov - 2016,"53,316",0,0,0,0,0,0,117.9
12-2016,Dec - 2016,"67,921",0,0,0,0,0,0,362.1
01-2017,Jan - 2017,"101,802",0,0,0,0,0,0,463.7
02-2017,Feb - 2017,"129,068",0,0,0,0,0,0,249.3
03-2017,Mar - 2017,"129,062",0,0,0,0,0,0,244
04-2017,Apr - 2017,"63,407",0,0,0,0,0,0,102.5
05-2017,May - 2017,"57,669",1,0,0,0,0,0,157.9
06-2017,Jun - 2017,"38,181",0,1,0,0,0,0,91.1
07-2017,Jul - 2017,"40,199",0,0,1,0,0,0,22.2
08-2017,Aug - 2017,"33,849",0,0,0,1,0,0,0
09-2017,Sep - 2017,"16,424",0,0,0,0,1,0,11.3
10-2017,Oct - 2017,"15,273",0,0,0,0,0,1,26.6
11-2017,Nov - 2017,"18,293",0,0,0,0,0,0,321.6
12-2017,Dec - 2017,"39,752",0,0,0,0,0,0,291.1
01-2018,Jan - 2018,"40,098",0,0,0,0,0,0,243.2
02-2018,Feb - 2018,"47,394",0,0,0,0,0,0,245.8
03-2018,Mar - 2018,"60,096",0,0,0,0,0,0,279.6
04-2018,Apr - 2018,"35,181",0,0,0,0,0,0,62.8
05-2018,May - 2018,"24,338",1,0,0,0,0,0,3.7
06-2018,Jun - 2018,"40,853",0,1,0,0,0,0,14.9
07-2018,Jul - 2018,"49,836",0,0,1,1,0,0,0
08-2018,Aug - 2018,"36,136",0,0,0,0,1,0,28.5
09-2018,Sep - 2018,"17,791",0,0,0,0,0,1,0
10-2018,Oct - 2018,"22,716",0,0,0,0,0,0,1.2
11-2018,Nov - 2018,"22,816",0,0,0,0,0,0,146.3
12-2018,Dec - 2018,"37,692",0,0,0,0,0,0,146.3
01-2019,Jan - 2019,"35,283",0,0,0,0,0,0,380.4
02-2019,Feb - 2019,"16,409",0,0,0,0,0,0,339
03-2019,Mar - 2019,"20,005",0,0,0,0,0,0,227.3
04-2019,Apr - 2019,"21,561",0,0,0,0,0,0,288.2
05-2019,May - 2019,"22,980",1,0,0,0,0,0,5.6
06-2019,Jun - 2019,"27,194",0,1,0,0,0,0,0
07-2019,Jul - 2019,"75,325",0,0,1,1,0,0,1.7
08-2019,Aug - 2019,"81,069",0,0,0,0,1,0,0
09-2019,Sep - 2019,"62,282",0,0,0,0,0,1,0
10-2019,Oct - 2019,"43,644",0,0,0,0,0,0,0
11-2019,Nov - 2019,"34,962",0,0,0,0,0,0,25.1
12-2019,Dec - 2019,"34,510",0,0,0,0,0,0,133.2
01-2020,Jan - 2020,"76,745",0,0,0,0,0,0,209.1
02-2020,Feb - 2020,"71,395",0,0,0,0,0,0,475.8
03-2020,Mar - 2020,"43,788",0,0,0,0,0,0,348.5
04-2020,Apr - 2020,"50,301",1,0,0,0,0,0,327.2
05-2020,May - 2020,"21,957",0,1,0,0,0,0,91.1
06-2020,Jun - 2020,"16,625",0,0,1,1,0,0,31.5
07-2020,Jul - 2020,"21,670",0,0,0,0,1,0,21.7
08-2020,Aug - 2020,"21,230",0,0,0,0,0,1,14
09-2020,Sep - 2020,"16,560",0,0,0,0,0,0,0
10-2020,Oct - 2020,"17,918",0,0,0,0,0,0,88.6
11-2020,Nov - 2020,"37,871",0,0,0,0,0,0,133.7
12-2020,Dec - 2020,"51,261",0,0,0,0,0,0,429.8
01-2021,Jan - 2021,"75,015",0,0,0,0,0,0,323.9
02-2021,Feb - 2021,"89,664",0,0,0,0,0,0,469.6
03-2021,Mar - 2021,"115,071",0,0,0,0,0,0,278.6
04-2021,Apr - 2021,"67,505",1,0,0,0,0,0,45.3
05-2021,May - 2021,"53,707",0,1,0,0,0,0,125.6
06-2021,Jun - 2021,"50,201",0,0,1,1,0,0,78.5
07-2021,Jul - 2021,"58,429",0,0,0,0,1,0,0
08-2021,Aug - 2021,"40,329",0,0,0,0,0,1,1.9
09-2021,Sep - 2021,"18,194",0,0,0,0,0,0,88.5
10-2021,Oct - 2021,"20,613",0,0,0,0,0,0,15.8
11-2021,Nov - 2021,"33,071",0,0,0,0,0,0,147.5
12-2021,Dec - 2021,"86,232",0,0,0,0,0,0,484.7
01-2022,Jan - 2022,"69,324",0,0,0,0,0,0,217.9
02-2022,Feb - 2022,"51,515",0,0,0,0,0,0,244.6
03-2022,Mar - 2022,"59,896",0,0,0,0,0,0,271
04-2022,Apr - 2022,"41,500",1,0,0,0,0,0,59.6
05-2022,May - 2022,"61,855",0,1,0,0,0,0,129.7
06-2022,Jun - 2022,"96,677",0,0,1,1,0,0,87.9
07-2022,Jul - 2022,"95,156",0,0,0,0,1,0,21.9
08-2022,Aug - 2022,"62,268",0,0,0,0,0,1,1.5
09-2022,Sep - 2022,"64,045",0,0,0,0,0,0,3.4
10-2022,Oct - 2022,"55,131",0,0,0,0,0,0,350.1
11-2022,Nov - 2022,"30,678",0,0,0,0,0,0,302.1
12-2022,Dec - 2022,"50,644",0,0,0,0,0,0,226.3
01-2023,Jan - 2023,"60,428",0,0,0,0,0,0,184
02-2023,Feb - 2023,"61,671",0,0,0,0,0,0,314.2
03-2023,Mar - 2023,"76,698",1,0,0,0,0,0,140.4
04-2023,Apr - 2023,"46,324",0,1,0,0,0,0,202.8
05-2023,May - 2023,"37,251",0,0,1,1,0,0,10
06-2023,Jun - 2023,"37,694",0,0,0,0,1,0,15.3
07-2023,Jul - 2023,"33,329",0,0,0,0,0,1,50.8
08-2023,Aug - 2023,"41,283",0,0,0,0,0,0,0
09-2023,Sep - 2023,"28,470",0,0,0,0,0,0,5
10-2023,Oct - 2023,"66,150",0,0,0,0,0,0,1
11-2023,Nov - 2023,"87,067",0,0,0,0,0,0,99.2
12-2023,Dec - 2023,"85,501",0,0,0,0,0,0,121.7
01-2024,Jan - 2024,"70,646",0,0,0,0,0,0,132.2
02-2024,Feb - 2024,"69,647",0,0,0,0,0,0,368.5
03-2024,Mar - 2024,"54,214",1,0,0,0,0,0,88.4
04-2024,Apr - 2024,"32,963",0,1,0,0,0,0,193.7
05-2024,May - 2024,"26,993",0,0,1,1,0,0,28.4
06-2024,Jun - 2024,"33,204",0,0,0,0,1,0,10.7
07-2024,Jul - 2024,"72,530",0,0,0,0,0,1,12.8
08-2024,Aug - 2024,"67,849",0,0,0,0,0,0,0
09-2024,Sep - 2024,"32,930",0,0,0,0,0,0,13.7
10-2024,Oct - 2024,"35,877",0,0,0,0,0,0,16.6
11-2024,Nov - 2024,"31,321",0,0,0,0,0,0,160
12-2024,Dec - 2024,"56,942",0,0,0,0,0,0,318.9
